Serial_Number,Schedule_Number,Depot_Code,Count,Depots
89,285M,11,16,"11,11,11,11,11"
90,285M,11,16,"11,11,11,11,11,11"
91,285M,11,16,"11,11,11,11,11,11,11"
121,285M,30,16,"11,11,11,11,11,11,11,30"
127,285M,30,16,"11,11,11,11,11,11,11,30,30"
130,285M,30,16,"11,11,11,11,11,11,11,30,30,30"
268,285M,11,16,"11,11,11,11,11,11,11,30,30,30,11"
315,285m,30,2,30
316,285m,30,2,"30,30"
2734,285M,11,16,11
2735,285M,11,16,"11,11"
2737,285M,11,16,"11,11,11"
2770,285M,2,16,"11,11,11,2"
2855,285M,2,16,"11,11,11,2,2"
63,285MA,11,14,11
75,285MA,11,14,"11,11"
99,285MA,11,14,"11,11,11"
122,285MA,30,14,"11,11,11,30"
125,285MA,30,14,"11,11,11,30,30"
128,285MA,30,14,"11,11,11,30,30,30"
198,285MA,30,14,"11,11,11,30,30,30,30"
202,285MA,30,14,"11,11,11,30,30,30,30,30"
204,285MA,30,14,"11,11,11,30,30,30,30,30,30"
251,285MA,30,14,"11,11,11,30,30,30,30,30,30,30"
2337,285MA,2,14,"11,11,11,30,30,30,30,30,30,30,2"
3840,285MA,3,14,"11,11,11,30,30,30,30,30,30,30,2,3"
5642,285MA,26,14,"11,11,11,30,30,30,30,30,30,30,2,3,26"
5646,285MA,26,14,"11,11,11,30,30,30,30,30,30,30,2,3,26,26"
160,285MC,11,5,11
262,285MC,11,5,"11,11"
343,285MC,30,5,"11,11,30"
358,285MC,30,5,"11,11,30,30"
6510,285MC,30,5,"11,11,30,30,30"
74,285ME,11,2,11
250,285ME,30,2,"11,30"
159,285MF,30,2,30
190,285MF,30,2,"30,30"
138,285MG,30,1,30
281,285MK,11,2,11
289,285MK,11,2,"11,11"
259,285MP,30,1,30
237,285N,30,1,30
77,285P,11,1,11
258,285R,30,1,30
320,285RA,30,1,30
249,285RB,30,1,30
305,285T,11,1,11
317,285V,30,1,30
211,285W,30,1,30
205,285X,30,1,30
318,285y,30,1,30
76,285Z,11,1,11
157,286A,30,2,30
321,286A,30,2,"30,30"
174,286B,30,2,30
5648,286B,30,2,"30,30"
9,286D,11,2,11
93,286D,11,2,"11,11"
322,286E,30,1,30
1407,286F,10,2,10
1606,286F,23,2,"10,23"
152,286G,30,1,30
233,286H,30,1,30
2680,287A,2,3,2
4307,287A,2,3,"2,2"
5972,287A,2,3,"2,2,2"
423,287B,14,1,14
206,287C,30,1,30
4508,287E,14,1,14
3839,287F,26,1,26
5679,287G,14,1,14
4458,287H,30,1,30
1508,287J,14,2,14
4493,287J,14,2,"14,14"
216,287JA,30,1,30
4483,287K,30,1,30
4460,287L,11,1,11
4334,287M,3,1,3
1600,287N,23,1,23
421,287P,14,1,14
5683,287Q,14,1,14
424,287R,14,1,14
2518,287RA,8,1,8
